model,tier,size_gb,cost_inr_per_run,status,F1,P,R,sev,lat_ms,records,F1_prefix,notes
gpt-5.4-nano,API,-,0.28,kept-api,0.909,1.0,0.833,0.8,2606,35,0.746,Co-champion overall (F1 0.909 post-fix); cheapest tier
gpt-4.1-nano,API,-,0.09,kept-api,0.909,1.0,0.833,0.85,2641,35,0.746,Co-champion overall (F1 0.909 post-fix)
gpt-5.6-terra,API,-,2.32,kept-api,0.857,1.0,0.75,0.889,3878,35,0.63,F1 0.857
gpt-5.1,API,-,2.7,kept-api,0.857,1.0,0.75,0.833,3915,35,0.63,F1 0.857
gpt-6-astra,API,-,11.45,kept-api,0.829,1.0,0.708,0.882,4730,35,0.679,Flagship: F1 0.829 — no advantage over nanos at 40× cost
gpt-5-mini,API,-,0.58,kept-api,0.829,1.0,0.708,0.941,15966,35,0.655,15.9s/call (reasoning)
gpt-5.2,API,-,3.15,kept-api,0.8,1.0,0.667,0.875,4034,35,0.63,
gpt-5.4,API,-,3.26,kept-api,0.737,1.0,0.583,0.857,2908,35,0.63,
gpt-4.1-mini,API,-,0.38,kept-api,0.737,1.0,0.583,1.0,2972,35,0.577,sev 1.00
o4-mini,API,-,0.9,kept-api,0.545,1.0,0.375,1.0,4972,35,0.279,
gpt-4o-mini,API,-,0.11,kept-api,0.857,1.0,0.75,0.889,2372,35,,Cheapest acceptable (F1 0.857 pre-ladder2; 0.769 in patterns run — run variance)
gpt-5.6-luna,API,-,0.23,kept-api,0.545,1.0,0.375,1.0,4618,35,,F1 0.545 post-fix
gpt-4o,API,-,2.1,kept-api,0.52,0.5,0.542,0.846,3039,35,,"PRE-FIX run (records.jsonl): grade includes the 11 fabricated default-flags, hence P=0.5 — kept for lineage only; post-fix equivalent is the nano tier (same quality at 1/10 cost)"
gpt-4.1,API,-,1.87,kept-api,0.4,1.0,0.25,0.833,2493,35,0.391,
gpt-5.4-mini,API,-,0.96,kept-api,0.345,1.0,0.208,0.6,2080,35,0.318,
gpt-3.5-turbo,API,-,0.27,kept-api,0.345,1.0,0.208,0.6,2764,35,0.4,2022 baseline
gpt-4-turbo,API,-,7.1,kept-api,0.222,1.0,0.125,1.0,4735,35,0.222,Most conservative ladder model (under-flags)
gpt-5.5,API,-,5.99,kept-api,0.154,1.0,0.083,0.5,5094,35,0.318,Flagship under-flags: F1 0.154 — anti-recommendation
gpt-5-nano,API,-,0.009,kept-api,0.08,1.0,0.042,1.0,0,35,0.746,Cache-collapse anomaly (2 escalations → all-cache replay)
llama3.2:3b,local-8GB,2.0,0.0,kept,0.737,1.0,0.583,0.357,2485,35,,LOCAL CHAMPION — recommended local default
gemma3:12b,local-16GB,8.1,0.0,kept,0.629,1.0,0.458,1.0,24350,35,,16GB-tier representative
qwen2.5vl:7b,local-vision,6.0,0.0,kept,0.5,1.0,0.333,0.75,11417,35,,Vision-coupled (multimodal extraction feature); grade from 2-pass run
gemma3:4b,local-8GB,3.3,0.0,deleted,0.4,1.0,0.25,1.0,7089,35,,F1 0.400
aya-expanse:8b,local-multilingual,5.1,0.0,deleted,0.4,1.0,0.25,0.833,22491,35,,Multilingual-special; slow (22.5s)
qwen2.5:7b,local-16GB,4.7,0.0,deleted,0.4,1.0,0.25,0.833,19683,35,,Bigger ≠ better: 0.400 at 19.7s
mistral:7b,local-8GB,4.4,0.0,deleted,0.345,1.0,0.208,1.0,12635,35,,First deletion
qwen2.5:3b,local-8GB,1.9,0.0,deleted,0.345,1.0,0.208,0.8,8304,35,,
qwen3.5:4b,local-newgen,3.4,0.0,deleted,0.588,1.0,0.417,1.0,97309,35,,Thinking mode: 97s/call AND F1 0.588 < llama3.2:3b — loses both axes
phi4-mini,local-newgen,2.5,0.0,deleted,0.737,1.0,0.583,0.929,13495,35,,F1 0.737 = champion quality but 13.5s vs 2.5s — llama wins on speed
qwen3:4b,local-newgen,2.6,0.0,partial-killed,0.0,0.0,0.0,,96290,8,,"PARTIAL (8/35 records, killed per owner load directive): F1 0.000 on its records, 96s/call thinking latency; model deleted; re-pull to complete"
gpt-oss:20b,local-16GB,~13-14 (pull),0.0,blocked,,,,,,,,"16GB MoE SOTA; pull killed at 13.8GB partial (disk crisis, owner hold); one-command: ollama pull gpt-oss:20b → run_local recipe"
qwen3:1.7b,local-4GB,1.4 (pull),0.0,blocked,,,,,,,,Sub-2B tier candidate; pull aborted (load hold)
gemma3:1b,local-1B/browser,0.8 (pull),0.0,blocked,,,,,,,,Browser-adjacent tier; pull aborted (load hold)
