"path","git_state","artifact_class","slice_id","ownership","dependency","disposition","verification"
".commandcode/taste/taste.md","M","project_artifact","H08","historical_shared_dirty_snapshot_origin_unknown_preserved","H07+design_evidence_tooling","preserved_in_commit_2f9a638","artifact_presence_preserved;no_fresh_visual_reverification"
".gitignore","M","repository_configuration","H12","current_commit_preparation_session_observed","H01+repository_control_plane","preserved_in_commit_2f9a638","hook_gate_push_and_remote_sha_equality_observed"
"Docs/ADHD_APP_AUDIT_EXPLORATION_2026-08-30.md","M","project_documentation","H01","historical_shared_dirty_snapshot_origin_unknown_preserved","root_control_plane","preserved_in_commit_2f9a638","commit_tree_and_document_presence_observed"
"Docs/ADR_ESCALATE_LEAD_PERSISTENCE_2026-08-31.md","A","architecture_documentation","H02","historical_shared_dirty_snapshot_origin_unknown_preserved","H01+canonical_draft_and_trip_persistence","preserved_in_commit_2f9a638","backend_full_suite_observed_with_one_shared_session_ordering_residual"
"Docs/INDEX.md","M","project_documentation","H12","historical_shared_dirty_snapshot_origin_unknown_preserved","H01+repository_control_plane","preserved_in_commit_2f9a638","hook_gate_push_and_remote_sha_equality_observed"
"Docs/SIMULATED_PRODUCT_DEMO_TOOL_TASTER_2026-08-31.md","A","project_documentation","H09","historical_shared_dirty_snapshot_origin_unknown_preserved","H01+persona_and_research_corpus","preserved_in_commit_2f9a638","document_presence_and_commit_preservation_only"
"Docs/architecture/TENANCY_ISOLATION_MODELS_LEARNING_2026-08-31.md","A","architecture_documentation","H04","historical_shared_dirty_snapshot_origin_unknown_preserved","H01+authentication_and_tenant_context","preserved_in_commit_2f9a638","targeted_privacy_tax_repairs_and_backend_suite_observed"
"Docs/exploration/AGENTIC_DEEP_AUDIT_SYNTHESIS_2026-08-31.md","A","exploration_documentation","H09","historical_shared_dirty_snapshot_origin_unknown_preserved","H01+persona_and_research_corpus","preserved_in_commit_2f9a638","document_presence_and_commit_preservation_only"
"Docs/exploration/AGENTIC_FLOW_DEEP_MAP_2026-08-31.md","A","exploration_documentation","H09","historical_shared_dirty_snapshot_origin_unknown_preserved","H01+persona_and_research_corpus","preserved_in_commit_2f9a638","document_presence_and_commit_preservation_only"
"Docs/exploration/BROWSER_LLM_SLM_RESEARCH_2026-08-31.md","A","exploration_documentation","H09","historical_shared_dirty_snapshot_origin_unknown_preserved","H01+persona_and_research_corpus","preserved_in_commit_2f9a638","document_presence_and_commit_preservation_only"
"Docs/exploration/DEMO01_LEAD_ROUTING_GAP_2026-08-31.md","A","exploration_documentation","H02","historical_shared_dirty_snapshot_origin_unknown_preserved","H01+canonical_draft_and_trip_persistence","preserved_in_commit_2f9a638","backend_full_suite_observed_with_one_shared_session_ordering_residual"
"Docs/exploration/DEMO02_COLLOQUIAL_EXTRACTION_GAPS_2026-08-31.md","A","exploration_documentation","H03","historical_shared_dirty_snapshot_origin_unknown_preserved","H01+canonical_intake_contract","preserved_in_commit_2f9a638","backend_full_suite_observed_with_one_shared_session_ordering_residual"
"Docs/exploration/DEMO03_PACKET_COVERAGE_AND_CONFIDENCE_2026-08-31.md","A","exploration_documentation","H03","historical_shared_dirty_snapshot_origin_unknown_preserved","H01+canonical_intake_contract","preserved_in_commit_2f9a638","backend_full_suite_observed_with_one_shared_session_ordering_residual"
