id,domain,feature,status,priority,what_it_does,evidence
A01,"A) Platform, Identity & Tenancy","Auth lifecycle (signup, login, logout, refresh, me)",LIVE,P0,httpOnly-cookie JWT sessions for agencies and staff,`spine_api/routers/auth.py`; `frontend/src/app/(auth)/`
A02,"A) Platform, Identity & Tenancy",Password reset + workspace-code join/validate,LIVE,P1,Account recovery and invite-based team onboarding,`spine_api/routers/auth.py`; `spine_api/routers/workspace.py`
A03,"A) Platform, Identity & Tenancy",Multi-tenant RLS isolation + FORCE posture validation,LIVE,P0,"Per-agency row isolation, fail-closed startup checks on all tenant tables",`spine_api/core/rls.py`; `spine_api/server.py:1175`; `scripts/check_rls_coverage.py`
A04,"A) Platform, Identity & Tenancy",Workspace/member/role management,LIVE,P1,"Roster, invites, roles, capacity, specializations",`spine_api/routers/team.py`; `spine_api/models/tenant.py`
A05,"A) Platform, Identity & Tenancy",Agency settings (30 endpoints),LIVE,P0,"Operational, AI, autonomy, epistemic, comms, seasonal policy-as-data",`spine_api/routers/settings.py`; `frontend/src/app/(agency)/settings/`
A06,"A) Platform, Identity & Tenancy",Tier-gated feature matrix,LIVE,P1,Plan tiers override manual feature toggles (e.g. frontier/negotiation locked on starter),`src/intake/config/agency_settings.py`
A07,"A) Platform, Identity & Tenancy",Audit trail + tamper-evident hashing,LIVE,P1,"Append-only audit logs, per-trip agent events, SHA-256 chain (Rule 0.15)",`spine_api/routers/audit.py`; `Docs/ADR_RULE_015_DECOUPLING_AND_AUDIT_CHAIN_HASHING_2026-07-29.md`
A08,"A) Platform, Identity & Tenancy",Fail-closed startup assertions + rate limiting + body caps,LIVE,P0,Boot-time env/secret/RLS validation; slowapi limits; ASGI body cap,`spine_api/core/startup_assertions.py`; `spine_api/server.py:1362`
A09,"A) Platform, Identity & Tenancy",OTel observability,LIVE,P1,"OTLP gRPC spans, pipeline instrumentation, env-tunable batching",`spine_api/server.py:93`; `Docs/OTEL_OBSERVABILITY_SETUP_2026-05-01.md`
A10,"A) Platform, Identity & Tenancy",Human-AI authority boundaries,LIVE,P1,"HMAC capability tokens, trust zones, dual-control signoffs",`spine_api/routers/boundaries.py`; `src/services/boundary_engine.py`
A11,"A) Platform, Identity & Tenancy",AI workforce governance registry,LIVE,P2,"Per-agent capability scoping, policy validation, execution limits",`src/governance/registry.py`
B01,B) Lead Intake & Extraction,Async spine run execution,LIVE,P0,"POST /run returns queued immediately; daemon-thread pipeline, file ledger, first-class blocked state",`spine_api/server.py:1927`; `spine_api/run_ledger.py`; `spine_api/run_state.py`
B02,B) Lead Intake & Extraction,Multi-channel lead ingestion,LIVE,P0,"Freeform, structured JSON, social DM, voice notes, images",`spine_api/routers/inbound.py`; `spine_api/routers/social_inbound.py`; `spine_api/routers/multimodal.py`
B03,B) Lead Intake & Extraction,Destination extraction with GeoNames validation,LIVE,P0,"590k-city validation, origin/destination context heuristics, city sets, past-mention filtering",`src/intake/extractors.py:758`; `src/intake/geography.py`
B04,B) Lead Intake & Extraction,Colloquial party/budget/date extraction,LIVE,P0,"Hinglish and colloquial composition, lakh/crore budgets, stretch max, date flexibility windows",`src/intake/extractors.py:1090`; `src/intake/extractors.py:1516`
B05,B) Lead Intake & Extraction,MRZ passport parsing,LIVE,P1,ICAO 9303 TD3 parsing with checksum verification,`src/intake/mrz.py`; `src/intake/mrz_parser_engine.py`
B06,B) Lead Intake & Extraction,Vision/document extraction model chain,GATED,P1,Gemini/OpenAI fallback chain with retry; requires provider API key (excluded from CI runner),`src/extraction/model_chain.py`; `scripts/run_backend_tests.sh`
B07,B) Lead Intake & Extraction,Epistemic provenance + conflict arbiter,LIVE,P1,"Field-level provenance, multi-turn contradiction detection, implicit needs, negative exclusions",`src/intake/epistemic_engine.py`; `spine_api/routers/epistemic.py`
B08,B) Lead Intake & Extraction,Validation tiers (INTAKE_MINIMUM / QUOTE_READY),LIVE,P0,Stage-tiered minimum viable booking data; missing minimum escalates but persists the lead,`src/intake/validation.py`
B09,B) Lead Intake & Extraction,NB01 intake-completion gate,LIVE,P0,"ESCALATE early-exit, DEGRADE partial save with generated follow-up questions",`src/intake/gates.py:101`
B10,B) Lead Intake & Extraction,Incomplete-lead persistence + never-clobber reprocess,LIVE,P0,ESCALATE runs persist incomplete leads and never overwrite promoted trips on reprocess,`Docs/ADR_ESCALATE_LEAD_PERSISTENCE_2026-08-31.md`; `spine_api/services/pipeline_execution_service.py`
B11,B) Lead Intake & Extraction,Draft lifecycle,LIVE,P0,"open/processing/blocked/failed/promoted/merged/discarded, autosave with conflict detection, promote to trip",`spine_api/draft_store.py`; `spine_api/routers/drafts.py`
B12,B) Lead Intake & Extraction,Optimistic sync + repair deep-link,LIVE,P1,Optimistic trip state push; repair banner deep-links to field-level intake fixes,`spine_api/routers/inbound.py`; `frontend/src/lib/repair-deep-link.ts`
