feature_id,feature_name,status,priority,domain,value_summary,dependency,build_path,evidence
F001,Auth signup/login/logout/refresh/me,LIVE,P0,platform,Secure session lifecycle,JWT cookies and auth router,Harden abuse controls and auth telemetry,spine_api/routers/auth.py
F002,Password reset and code validation,LIVE,P1,platform,Account recovery trust,Email token flow,Improve expiry UX and anti-abuse checks,spine_api/routers/auth.py
F003,Join invite flow,LIVE,P1,platform,Team onboarding at scale,Team plus auth membership,Add role templates and invite analytics,frontend/src/app/(auth)/join/[code]/page.tsx
F004,Multi tenant isolation,PARTIAL,P0,platform,Compliance and data segregation,RLS and membership model,Expand RLS invariants and tests,spine_api/core/rls.py
F005,Rate limiting and security envelopes,PARTIAL,P0,platform,Abuse resistance and reliability,Middleware and auth stack,Tighten endpoint specific policies,tests/test_rate_limiter.py
F006,Overview command center,LIVE,P0,agency_ops,Daily operational entrypoint,Summary services,Expand owner KPI panels,frontend/src/app/(agency)/overview/page.tsx
F007,Lead inbox,LIVE,P0,agency_ops,Lead triage and routing,Inbox API and assignment actions,Optimize for high-volume queues,spine_api/routers/inbox.py
F008,Quote review surface,LIVE,P0,agency_ops,Human gate before outbound output,Review endpoints and risk flags,Add rationale and diff experience,frontend/src/app/(agency)/reviews/page.tsx
F009,Trips in planning,LIVE,P0,agency_ops,Lifecycle progression visibility,Trips API and stage model,Add bulk progression operations,frontend/src/app/(agency)/trips/page.tsx
F010,Workbench shell,LIVE,P0,agency_ops,End to end operator workflow,Run pipeline and stage tabs,Harden stage specific contracts,frontend/src/app/(agency)/workbench/page.tsx
F011,Audit workspace,LIVE,P1,agency_ops,Fit waste and compliance analysis,Audit router and report UI,Add report templates and export policy,frontend/src/app/(agency)/audit/page.tsx
F012,Insights workspace,LIVE,P1,analytics,Operational intelligence,Analytics router and chart models,Add anomaly detection and actions,frontend/src/app/(agency)/insights/page.tsx
F013,Settings workspace,LIVE,P0,agency_ops,Governance and policy controls,Settings and team APIs,Unify policy as data model,frontend/src/app/(agency)/settings/page.tsx
F014,Async run orchestration,LIVE,P0,pipeline,Non blocking execution,Run ledger and event store,Optimize retries throughput and timeout policy,spine_api/server.py
F015,Stage checkpoint ledger,LIVE,P0,pipeline,Recoverability and explainability,Run ledger persistence,Add replay diagnostics and integrity audit,spine_api/run_ledger.py
F016,Pipeline stage events,LIVE,P0,pipeline,Timeline observability trace,Run event emitter,Link event quality to SLA checks,spine_api/run_events.py
F017,Decision state generation,LIVE,P0,pipeline,Ready review block outcomes,Intake validation and decision logic,Tighten decision rationale contract tests,src/decision
